"","Description","CaloriesPKG"
1,"Cycling, mountain bike, bmx",1.75072971940299
2,"Cycling, <10 mph, leisure bicycling",0.8232356298507459
3,"Cycling, >20 mph, racing",3.29497352835821
4,"Cycling, 10-11.9 mph, light",1.2348534447761201
5,"Cycling, 12-13.9 mph, moderate",1.6478252656716401
6,"Cycling, 14-15.9 mph, vigorous",2.05944308059702
7,"Cycling, 16-19 mph, very fast, racing",2.47106089552239
8,"Unicycling",1.02972154029851
9,"Stationary cycling, very light",0.6174267223880601
10,"Stationary cycling, light",1.13262599402985
11,"Stationary cycling, moderate",1.4413393552238798
12,"Stationary cycling, vigorous",2.16234753432836
13,"Stationary cycling, very vigorous",2.57464235223881
14,"Calisthenics, vigorous, pushups, situps...",1.6478252656716401
15,"Calisthenics, light",0.721008179104478
16,"Circuit training, minimal rest",1.6478252656716401
17,"Weight lifting, body building, vigorous",1.2348534447761201
18,"Weight lifting, light workout",0.6174267223880601
19,"Health club exercise",1.13262599402985
20,"Stair machine",1.85295717014925
21,"Rowing machine, light",0.721008179104478
22,"Rowing machine, moderate",1.4413393552238798
23,"Rowing machine, vigorous",1.75072971940299
24,"Rowing machine, very vigorous",2.47106089552239
25,"Ski machine",1.4413393552238798
26,"Aerobics, low impact",1.02972154029851
27,"Aerobics, high impact",1.4413393552238798
28,"Aerobics, step aerobics",1.75072971940299
29,"Aerobics, general",1.33843490149254
30,"Jazzercise",1.2348534447761201
31,"Stretching, hatha yoga",0.8232356298507459
32,"Mild stretching",0.515199271641791
33,"Instructing aerobic class",1.2348534447761201
34,"Water aerobics",0.8232356298507459
35,"Ballet, twist, jazz, tap",0.927494089552239
36,"Ballroom dancing, slow",0.6174267223880601
37,"Ballroom dancing, fast",1.13262599402985
38,"Running, 5 mph (12 minute mile)",1.6478252656716401
39,"Running, 5.2 mph (11.5 minute mile)",1.85295717014925
40,"Running, 6 mph (10 min mile)",2.05944308059702
41,"Running, 6.7 mph (9 min mile)",2.2652519880597
42,"Running, 7 mph (8.5 min mile)",2.36815644179104
43,"Running, 7.5mph (8 min mile)",2.57464235223881
44,"Running, 8 mph (7.5 min mile)",2.77977425671642
45,"Running, 8.6 mph (7 min mile)",2.8826787104477596
46,"Running, 9 mph (6.5 min mile)",3.0891646208955197
47,"Running, 10 mph (6 min mile)",3.29497352835821
48,"Running, 10.9 mph (5.5 min mile)",3.7065913432835798
49,"Running, cross country",1.85295717014925
50,"Running, general",1.6478252656716401
51,"Running, on a track, team practice",2.05944308059702
52,"Running, stairs, up",3.0891646208955197
53,"Track and field (shot, discus)",0.8232356298507459
54,"Track and field (high jump, pole vault)",1.2348534447761201
55,"Track and field (hurdles)",2.05944308059702
56,"Archery",0.721008179104478
57,"Badminton",0.927494089552239
58,"Basketball game, competitive",1.6478252656716401
59,"Playing basketball, non game",1.2348534447761201
60,"Basketball, officiating",1.4413393552238798
61,"Basketball, shooting baskets",0.927494089552239
62,"Basketball, wheelchair",1.33843490149254
63,"Running, training, pushing wheelchair",1.6478252656716401
64,"Billiards",0.515199271641791
65,"Bowling",0.6174267223880601
66,"Boxing, in ring",2.47106089552239
67,"Boxing, punching bag",1.2348534447761201
68,"Boxing, sparring",1.85295717014925
69,"Coaching: football, basketball, soccer…",0.8232356298507459
70,"Cricket (batting, bowling)",1.02972154029851
71,"Croquet",0.515199271641791
