"FB_ID","Ingredient_ID","Weight"
11100000,1077,40.0
11100000,1079,38.0
11100000,1082,14.0
11100000,1085,8.0
11111000,1077,100.0
11112110,1079,100.0
11112210,1082,100.0
11113000,1085,100.0
11114300,1082,100.0
11114320,1085,100.0
11114330,1079,100.0
11114350,1077,100.0
11115300,1088,100.0
11115400,1289,50.0
11115400,1290,50.0
11116000,1106,100.0
11120000,1154,23.0
11120000,14411,237.0
11121100,1090,42.662
11121100,14411,237.0
11210050,1096,100.0
11211050,1096,100.0
11211400,1097,100.0
11211400,1003,1.8
11212050,1097,100.0
11220000,1095,100.0
11300100,11350040,60.0
11300100,11360200,20.0
11300100,11320000,20.0
11320000,16222,96.0
11320000,19335,4.0
11320100,16222,100.0
11321000,16222,93.0
11321000,19335,7.0
11321000,19165,0.3
11350000,14091,96.0
11350000,19335,4.0
11350010,14091,93.0
11350010,19335,7.0
11350010,19165,0.3
11350020,14091,100.0
11350040,11350020,70.0
11350040,11350000,30.0
11360000,14639,100.0
11360200,8120,5.0
11360200,14411,91.0
11360200,4582,2.0
11360200,19335,2.0
11360200,2047,0.1
11360200,999328,0.017
11360200,999301,0.015
11360200,999418,0.005
11370000,14171,100.0
11400000,11411400,50.0
11400000,11432000,50.0
11400010,11434010,100.0
11410000,11432000,100.0
11411010,11411200,100.0
11411100,1116,100.0
11411100,999328,0.004
11411200,1117,100.0
11411200,999328,0.012
11411300,100295,100.0
11411300,999328,0.01
11411390,11411410,100.0
11411400,1293,100.0
11411410,1256,99.0
11411410,1003,1.0
11411420,1256,100.0
11430000,11432000,100.0
11431000,1116,86.0
11431000,19297,14.0
11431000,999328,0.005
11432000,1117,86.0
11432000,19297,14.0
11432000,999328,0.012
11433000,100295,86.0
11433000,19297,1.0
11433000,14411,13.0
11433000,999328,0.01
11433990,11434010,100.0
11434000,1293,89.0
11434000,19297,11.0
11434000,999328,0.009
11434010,1256,88.0
11434010,1003,1.0
11434010,19297,11.0
11434010,999328,0.009
11434020,1256,89.0
11434020,19297,11.0
11434020,999328,0.009
11434090,11434200,100.0
11434100,1116,86.0
11434100,19335,7.0
11434100,14411,7.0
11434100,999328,0.005
11434200,1117,86.0
11434200,19335,7.0
11434200,14411,7.0
11434200,999328,0.012
11434300,100295,86.0
11434300,19335,1.0
11434300,14411,13.0
11434300,999328,0.01
11435000,11435020,100.0
11435010,1293,89.0
11435010,19335,5.0
11435010,14411,6.0
11435010,999328,0.009
11435020,1256,88.0
11435020,1003,1.0
11435020,19335,5.0
11435020,14411,6.0
11435020,999328,0.009
11435030,1256,89.0
11435030,19335,5.0
11435030,14411,6.0
11435030,999328,0.009
11435100,11435020,80.0
11435100,57227000,20.0
11436000,11432000,80.0
11436000,14411,20.0
11436000,999328,0.002
11436100,11432000,75.0
11436100,11433000,25.0
11440010,4025,20.0
11440010,1287,80.0
11440010,2047,1.3
11440010,11819,2.0
11440030,4025,20.0
11440030,1287,80.0
11440030,2047,1.3
11440030,99997510,10.0
11440030,11100000,20.0
11440040,4025,20.0
11440040,1287,80.0
11440040,2047,1.3
11440040,1094,1.0
11440040,2029,1.0
11440050,4025,20.0
11440050,1287,80.0
11440050,2047,1.3
11440050,11464,10.0
11440050,11100000,20.0
11440060,1293,455.0
11440060,11205,300.0
11440060,82104000,28.0
11440060,9152,15.0
11440060,2047,6.0
11440060,11215,6.0
11440070,4025,20.0
11440070,1287,80.0
11440070,2047,1.3
11440070,99997510,1.0
11440070,2029,1.0
11446000,11434200,75.0
11446000,11435020,75.0
11446000,63200100,75.0
11446000,57227000,25.0
11459990,42187,100.0
11460000,42187,100.0
11460100,42186,100.0
11460500,19293,100.0
11460510,19293,98.0
11460510,19165,2.0
11461200,42187,75.0
11461200,18157,25.0
11461210,42187,100.0
11461220,42186,100.0
11461250,42186,120.0
11461250,18271,5.0
11461260,42187,120.0
11461260,18271,5.0
11461300,42187,240.0
11461300,18272,15.0
11461320,42186,240.0
11461320,18272,15.0
11480000,20000300,33.0
11480000,76000000,33.0
11480000,67100000,33.0
11480010,1116,100.0
11480010,999328,0.004
11480100,1116,90.0
11480100,19297,10.0
11480100,999328,0.005
11511000,1292,25.0
11511000,1104,75.0
11511100,1102,100.0
11511200,1103,100.0
11511300,1292,100.0
11511400,1104,100.0
11511550,19345,35.0
11511550,11100000,244.0
11512005,11512010,50.0
11512005,11514100,50.0
11512010,1079,244.0
11512010,19924,56.0
11512020,1085,244.0
11512020,19924,56.0
11512030,19924,56.0
11512030,11300100,244.0
11512100,11512010,244.0
11512100,12140000,10.0
11513380,11100000,244.0
11513380,14557,16.0
11513385,14557,16.0
11513385,11300100,244.0
11513801,1077,244.0
11513801,19345,35.0
11513802,1079,244.0
11513802,19345,35.0
11513803,1082,244.0
11513803,19345,35.0
11513804,1085,244.0
11513804,19345,35.0
11514100,14192,28.0
11514100,14411,180.0
11514110,14192,28.0
11514110,1079,180.0
11514130,14192,28.0
11514130,1085,180.0
11514150,14192,28.0
11514150,11300100,180.0
11514160,11514100,244.0
11514160,12140000,10.0
11514310,14196,16.0
11514310,14411,180.0
11514320,14196,16.0
11514320,1079,180.0
11514325,19345,56.0
11514325,11300100,244.0
11514330,19345,56.0
11514330,1079,244.0
11514340,14196,16.0
11514340,1085,180.0
11514350,19345,56.0
11514350,1085,244.0
11514360,14196,16.0
11514360,11300100,180.0
11519040,14350,10.0
11519040,11100000,244.0
11519050,14350,20.0
11519050,1077,244.0
11519105,14350,16.0
11519105,1079,244.0
11519200,14350,20.0
11519200,1082,244.0
11519205,14350,20.0
11519205,1085,244.0
11519210,14350,2.0
11519210,11100000,98.0
11526000,14315,11.0
11526000,11100000,244.0
11531000,1057,100.0
11541110,1077,488.0
11541110,19270,296.0
11541120,1077,488.0
11541120,19095,270.0
11541130,1082,488.0
11541130,19114,296.0
11541135,1082,488.0
11541135,19088,270.0
11541400,1077,488.0
11541400,19095,270.0
11541400,14311,29.6
11542100,14347,98.0
11542100,19165,2.0
11542200,14347,100.0
11543000,14347,98.0
11543000,19165,2.0
11543010,14347,100.0
11551050,11100000,244.0
11551050,9040,68.0
11551050,9316,54.78
11551050,19335,19.0
11553100,9318,149.0
11553100,9054,150.0
11553100,9040,118.0
11553100,11432000,226.1
11553100,11100000,244.0
11553110,9318,149.0
11553110,9054,150.0
11553110,9040,118.0
11553110,11432000,226.61
11553110,11100000,244.0
11553120,9318,149.0
11553120,9054,150.0
11553120,11432000,226.61
11553120,11100000,244.0
11553120,14066,52.0
11553130,21521,100.0
11560000,43369,100.0
11710000,11710359,50.0
11710000,11710639,50.0
11710030,11710359,75.0
11710030,11710379,25.0
11710051,3935,100.0
11710056,3935,100.0
11710351,3950,8.5
11710351,3024,59.2
11710357,3950,8.5
11710357,14411,59.2
11710358,3950,8.5
11710358,14555,59.2
11710359,3950,8.5
11710359,3024,59.2
11710371,3948,8.5
11710371,3024,59.2
11710377,3948,8.5
11710377,14411,59.2
11710378,3948,8.5
11710378,14555,59.2
11710379,3948,8.5
11710379,3024,59.2
11710381,3999,8.5
11710381,3024,59.2
11710383,3999,8.5
11710383,3024,59.2
11710481,33871,15.0
11710481,3024,118.4
11710605,11710639,75.0
11710605,11710679,25.0
11710631,33863,8.8
11710631,3024,59.2
11710637,33863,8.8
11710637,14411,59.2
11710638,33863,8.8
11710638,14555,59.2
11710639,33863,8.8
11710639,3024,59.2
11710661,3943,8.8
11710661,3024,59.2
11710669,3943,8.8
11710669,3024,59.2
11710671,3980,8.8
11710671,3024,59.2
11710677,3980,8.8
11710677,14411,59.2
11710678,3980,8.8
11710678,14555,59.2
11710679,3980,8.8
11710679,3024,59.2
11710689,3967,20.25
11710689,3024,177.4
11710689,33866,6.75
11710801,3860,100.0
11710807,11710481,50.0
11710807,11710689,50.0
11710810,11710481,50.0
11710810,11710689,50.0
11710815,3860,100.0
11710905,11710919,75.0
11710905,11720619,25.0
11710911,33867,8.7
11710911,3024,59.2
11710917,33867,8.7
11710917,14411,59.2
11710918,33867,8.7
11710918,14555,59.2
11710919,33867,8.7
11710919,3024,59.2
11710921,33867,8.7
11710921,3024,59.2
11710930,11710481,50.0
11710930,11710689,50.0
11710935,3955,50.0
11710935,3944,50.0
11710945,3955,50.0
11710945,3944,50.0
11710954,11710359,50.0
11710954,11710639,50.0
11710955,11710359,50.0
11710955,11710639,50.0
11710967,11710357,50.0
11710967,11710637,50.0
11710968,11710358,50.0
11710968,11710638,50.0
11710969,11710359,50.0
11710969,11710639,50.0
11710970,11710379,50.0
11710970,11710679,50.0
11710980,11710383,50.0
11710980,11710669,50.0
11720311,3852,8.8
11720311,3024,59.2
11720317,3852,8.8
11720317,14411,59.2
11720318,3852,8.8
11720318,14555,59.2
11720319,3852,8.8
11720319,3024,59.2
11720411,3954,8.5
11720411,3024,59.2
11720417,3954,8.5
11720417,14411,59.2
11720418,3954,8.5
11720418,14555,59.2
11720419,3954,8.5
11720419,3024,59.2
11720430,3992,100.0
11720611,3867,8.7
11720611,3024,59.2
11720617,3867,8.7
11720617,14411,59.2
11720618,3867,8.7
11720618,14555,59.2
11720619,3867,8.7
11720619,3024,59.2
11720809,11720419,50.0
11720809,11720319,50.0
11740311,3838,8.8
11740311,3024,59.2
11740313,3838,8.8
11740313,3024,59.2
11740401,3821,8.8
11740401,3024,59.2
11740403,3821,8.8
11740403,3024,59.2
11740405,33873,8.8
11740405,3024,59.2
11740560,3837,8.5
11740560,3024,59.2
11810000,1154,100.0
11825000,1115,100.0
11830150,19165,100.0
11830160,14557,100.0
11830165,14063,100.0
11830260,14315,100.0
11830400,14350,100.0
12100100,12120100,100.0
12110100,1050,100.0
12120100,1049,100.0
12120106,1049,100.0
12120106,2052,2.0
12120110,1199,100.0
12130100,1053,100.0
12140000,1053,238.0
12140000,19336,15.0
12200100,1067,100.0
12210200,1067,100.0
12210210,1205,100.0
12210260,42141,100.0
12210270,42141,75.0
12210270,19335,25.0
12210280,42141,100.0
12210310,42141,100.0
12210400,1069,100.0
12210420,1206,100.0
12210430,42136,100.0
12210505,1069,100.0
12210520,1067,100.0
12220200,1073,100.0
12220270,42135,100.0
12220280,42135,100.0
12310100,1056,100.0
12310350,1179,100.0
12310370,1180,100.0
12320100,1074,100.0
12350010,12350230,100.0
12350200,4025,50.0
12350200,1056,50.0
12350200,2047,1.0
12350200,11819,2.0
12350205,4641,50.0
12350205,1179,50.0
12350205,19335,6.0
12350205,2047,0.5
12350205,11819,2.0
12350220,4025,50.0
12350220,1056,50.0
12350220,2047,1.0
12350220,99997510,10.0
12350220,11100000,20.0
12350225,4641,50.0
12350225,1179,50.0
12350225,19335,6.0
12350225,2047,0.5
12350225,99997510,10.0
12350225,11100000,20.0
12350230,4025,50.0
12350230,1056,50.0
12350230,2047,1.0
12350230,1094,1.0
12350230,2029,1.0
12350235,4641,50.0
12350235,1179,50.0
12350235,19335,6.0
12350235,2047,0.5
12350235,1094,1.0
12350235,2029,1.0
12350240,4025,50.0
12350240,1056,50.0
12350240,2047,1.0
12350240,11464,10.0
12350240,11100000,20.0
12350245,4641,50.0
12350245,1179,50.0
12350245,19335,6.0
12350245,2047,0.5
12350245,11464,10.0
12350245,11100000,20.0
12350250,4025,50.0
12350250,1056,50.0
12350250,2047,1.0
12350250,99997510,1.0
12350250,2029,1.0
12350255,4641,50.0
12350255,1179,50.0
12350255,19335,6.0
12350255,2047,0.5
12350255,99997510,1.0
12350255,2029,1.0
13110000,13110100,60.0
13110000,13110102,40.0
13110100,19095,100.0
13110102,19095,135.0
13110102,19348,10.0
13110102,19141,10.0
13110102,18166,5.0
13110110,19270,100.0
13110112,19270,135.0
13110112,19348,10.0
13110112,19141,10.0
13110112,18166,5.0
13110200,19088,100.0
13110210,19114,100.0
13110460,19089,100.0
13110470,43541,100.0
13120050,1264,100.0
13120100,1237,100.0
13120110,43506,100.0
13120140,1237,98.0
13120140,19165,2.0
13120500,19095,75.0
13120500,18157,25.0
13120510,19270,75.0
13120510,18157,25.0
13120550,19095,55.0
13120550,18158,45.0
13120730,19095,120.0
13120730,18271,5.0
13120735,19095,240.0
13120735,18272,15.0
13120740,13110000,120.0
13120740,18271,5.0
13120770,19270,120.0
13120770,18271,5.0
13120775,19270,240.0
13120775,18272,15.0
13120782,19088,120.0
13120782,18271,5.0
13120784,19114,120.0
13120784,18271,5.0
13120786,19088,240.0
13120786,18272,15.0
13120788,19114,240.0
13120788,18272,15.0
13120790,1240,100.0
13120792,1240,99.0
13120792,19165,1.0
13120800,14157,246.4
13120800,19095,88.0
13120810,14157,246.4
13120810,19270,88.0
13121000,13121300,100.0
13121100,19095,135.0
13121100,12140000,5.0
13121100,19137,40.0
13121120,19095,240.0
13121120,9040,120.0
13121120,12140000,10.0
13121120,19348,40.0
13121120,19137,40.0
13121120,19364,40.0
13121300,19095,135.0
13121300,12140000,5.0
13121300,19348,40.0
13121400,19095,135.0
13121400,12140000,5.0
13121400,19364,40.0
13126000,19095,80.0
13126000,18173,20.0
13126000,4615,5.0
13130100,19088,50.0
13130100,19260,50.0
13130300,19088,50.0
13130300,19260,50.0
13130310,19114,50.0
13130310,19265,50.0
13130700,21412,50.0
13130700,21413,50.0
13135000,13130300,75.0
13135000,18157,25.0
13135010,13130310,75.0
13135010,18157,25.0
13140000,13130300,73.0
13140000,4659,12.0
13140000,14429,14.0
13140100,13130300,73.0
13140100,4659,12.0
13140100,14429,14.0
13140100,19165,1.0
13140115,13130310,73.0
13140115,4659,12.0
13140115,14429,14.0
13140115,19165,1.0
13140700,1302,100.0
13140900,19871,75.0
13140900,19335,15.0
13140900,4659,2.5
13140900,14429,15.0
13140900,2047,0.1
13142100,13130300,80.0
13142100,18272,12.0
13142100,19348,5.0
13142100,16090,3.0
13142110,13130310,80.0
13142110,18272,12.0
13142110,19348,5.0
13142110,16090,3.0
13150000,19097,100.0
13161600,19871,100.0
13200110,19183,100.0
13210110,11100000,488.0
13210110,81102010,14.0
13210110,19334,36.25
13210110,2010,2.6
13210110,2025,1.1
13210110,2052,2.167
13210110,1123,100.0
13210110,18069,112.0
13210110,9298,72.5
13210110,2047,1.5
13210280,19201,100.0
13210300,11100000,488.0
13210300,19335,37.5
13210300,1123,100.0
13210300,2047,0.4
13210300,14429,1.234
13210350,1123,300.0
13210350,19335,300.0
13210350,1096,378.0
13210350,14411,355.5
13210350,2047,3.0
13210370,11100000,488.0
13210370,19335,75.0
13210370,1123,50.0
13210370,2047,0.4
13210370,14429,1.234
13210410,19193,100.0
13210450,20044,453.6
13210450,19335,453.6
13210450,12061,28.35
13210450,12152,14.2
13210450,2052,26.0
13210450,1077,2928.0
13210520,19218,100.0
13220110,19202,95.0
13220110,11100000,480.0
13220120,19184,110.0
13220120,11100000,480.0
13220210,11100000,480.0
13220210,44260,30.0
13220220,11100000,480.0
13220220,44061,40.0
13230110,19201,100.0
13230120,44260,30.0
13230120,11100000,480.0
13230130,19183,100.0
13230140,44061,40.0
13230140,11100000,480.0
13230500,19218,100.0
13241000,11100000,106.75
13241000,1123,100.0
13241000,18212,140.0
13241000,9040,354.0
13241000,19335,50.0
13241000,19201,560.0
13250000,11100000,488.0
13250000,19335,50.0
13250000,19081,85.05
13250000,1125,68.0
13250000,1053,180.0
13252200,1225,100.0
13252500,1036,246.0
13252500,1049,240.0
13252500,19335,200.0
13252500,12152,10.0
13252500,12061,10.0
13252590,18133,25.0
13252590,9096,25.0
13252590,1054,25.0
13252590,13210300,25.0
13252600,18175,26.0
13252600,1017,35.0
13252600,1053,27.0
13252600,19335,10.0
13252600,14214,1.0
13252600,19165,1.0
13411000,20081,15.625
13411000,11100000,244.0
13411000,81100000,28.0
13411000,2047,1.5
14010000,1009,60.0
14010000,14410110,40.0
14101010,1004,100.0
14102010,1005,100.0
14103010,1007,100.0
14103020,1006,100.0
14104100,1009,100.0
14104110,1260,100.0
14104115,1265,100.0
14104200,1011,100.0
14104250,1011,50.0
14104250,100296,50.0
14104400,1019,100.0
14104600,1020,100.0
14104700,1157,100.0
14105010,1022,100.0
14105200,1023,100.0
14106010,1024,100.0
14106200,100296,100.0
14106500,42155,100.0
14107010,1029,100.0
14107030,1029,100.0
14107040,43597,100.0
14107060,42304,100.0
14107200,1030,100.0
14107250,42303,100.0
14108010,1032,50.0
14108010,100272,50.0
14108015,1032,50.0
14108015,1185,50.0
14108020,1032,50.0
14108020,100272,50.0
14108060,1185,100.0
14108200,1022,100.0
14108400,100298,100.0
14108420,1208,100.0
14109010,1040,100.0
14109020,43405,100.0
14109030,43589,100.0
14109040,1266,100.0
14110010,1169,100.0
14110050,1077,97.0
14110050,2053,3.0
14120010,99991410,100.0
14120020,1209,100.0
14131000,1165,100.0
