"Ingredient_ID","Nutrient_ID","Value"
1001,46,0.85
1001,54,82.2
1001,23,0.06
1001,30,743.0
1001,20,0.0
1001,64,15.8
1001,21,0.0
1001,52,0.0
1001,51,0.58
1001,34,0.0
1001,22,21.0
1001,39,0.06
1001,42,2.0
1001,44,22.0
1001,45,23.0
1001,50,524.0
1001,65,0.07
1001,28,0.006
1001,49,0.0
1001,47,744.0
1001,55,758.0
1001,25,168.0
1001,24,2.0
1001,61,0.0
1001,60,0.4
1001,29,8.0
1001,41,0.0
1001,40,0.0
1001,59,0.0
1001,53,0.005
1001,48,0.0
1001,43,0.0
1001,58,0.0
1001,37,5.0
1001,56,0.0
1001,27,18.8
1001,63,7.0
1001,38,0.0
1001,36,5.0
1001,35,5.0
1001,62,0.0
1001,57,0.0
1001,26,235.0
1001,33,45.6
1001,17,2.04
1001,18,1.44
1001,19,0.84
1001,1,1.92
1001,2,2.2
1001,3,7.15
1001,4,21.2
1001,6,7.42
1001,7,15.0
1001,8,2.25
1001,9,0.331
1001,12,0.104
1001,16,0.002
1001,5,0.999
1001,10,0.015
1001,11,0.117
1001,13,0.024
1001,14,0.004
1001,15,0.039
1001,31,16.9
1001,32,2.52
1002,46,0.49
1002,54,78.3
1002,23,0.0
1002,30,731.0
1002,20,0.0
1002,64,16.72
1002,21,0.0
1002,52,0.0
1002,51,0.06
1002,34,0.0
1002,22,23.0
1002,39,0.05
1002,42,1.0
1002,44,24.0
1002,45,41.0
1002,50,583.0
1002,65,0.05
1002,28,0.01
1002,49,0.0
1002,47,671.0
1002,55,683.0
1002,25,135.0
1002,24,1.0
1002,61,1.37
1002,60,0.0
1002,29,6.0
1002,41,0.0
1002,40,13.0
1002,59,0.0
1002,53,0.007
1002,48,0.064
1002,43,0.022
1002,58,0.008
1002,37,4.0
1002,56,0.07
1002,27,18.8
1002,63,4.6
1002,38,0.0
1002,36,4.0
1002,35,4.0
1002,62,0.0
1002,57,0.0
1002,26,225.0
1002,33,45.39
1002,17,1.635
1002,18,1.373
1002,19,0.858
1002,1,2.039
1002,2,2.354
1002,3,7.515
1002,4,20.531
1002,6,7.649
1002,7,17.37
1002,8,2.713
1002,9,0.298
1002,12,0.119
1002,16,0.003
1002,5,1.417
1002,10,0.003
1002,11,0.147
1002,13,0.022
1002,14,0.005
1002,15,0.045
1002,31,19.874
1002,32,3.331
1003,46,0.28
1003,54,99.48
1003,23,0.0
1003,30,876.0
1003,20,0.0
1003,64,0.24
1003,21,0.0
1003,52,0.0
1003,51,0.0
1003,34,0.0
1003,22,4.0
1003,39,0.0
1003,42,0.0
1003,44,3.0
1003,45,5.0
1003,50,2.0
1003,65,0.01
1003,28,0.001
1003,49,0.0
1003,47,824.0
1003,55,840.0
1003,25,193.0
1003,24,0.0
1003,61,2.8
1003,60,0.0
1003,29,0.0
1003,41,0.0
1003,40,0.0
1003,59,0.0
1003,53,0.001
1003,48,0.005
1003,43,0.003
1003,58,0.001
1003,37,0.0
1003,56,0.01
1003,27,22.3
1003,63,8.6
1003,38,0.0
1003,36,0.0
1003,35,0.0
1003,62,0.0
1003,57,0.0
1003,26,256.0
1003,33,61.924
1003,17,3.226
1003,18,1.91
1003,19,1.112
1003,1,2.495
1003,2,2.793
1003,3,10.005
1003,4,26.166
1003,6,12.056
1003,7,25.026
1003,8,2.247
1003,9,1.447
1003,12,0.0
1003,16,0.0
1003,5,2.228
1003,10,0.0
1003,11,0.0
1003,13,0.0
1003,14,0.0
1003,15,0.0
1003,31,28.732
1003,32,3.694
1004,46,21.4
1004,54,28.74
1004,23,2.34
1004,30,353.0
1004,20,0.0
1004,64,42.41
1004,21,0.0
1004,52,0.0
1004,51,0.5
1004,34,0.0
1004,22,528.0
1004,39,0.31
1004,42,23.0
1004,44,387.0
1004,45,256.0
1004,50,1146.0
1004,65,2.66
1004,28,0.04
1004,49,14.5
1004,47,192.0
1004,55,198.0
1004,25,74.0
1004,24,0.0
1004,61,0.25
1004,60,0.5
1004,29,0.0
1004,41,0.0
1004,40,0.0
1004,59,0.0
1004,53,0.029
1004,48,0.382
1004,43,1.016
1004,58,0.166
1004,37,36.0
1004,56,1.22
1004,27,15.4
1004,63,2.4
1004,38,0.0
1004,36,36.0
1004,35,36.0
1004,62,0.0
1004,57,0.0
1004,26,75.0
1004,33,18.669
1004,17,0.658
1004,18,0.361
1004,19,0.247
1004,1,0.601
1004,2,0.491
1004,3,3.301
1004,4,9.153
1004,6,3.235
1004,7,6.622
1004,8,0.536
1004,9,0.264
1004,12,0.0
1004,16,0.0
1004,5,0.816
1004,10,0.0
1004,11,0.0
1004,13,0.0
1004,14,0.0
1004,15,0.0
1004,31,7.778
1004,32,0.8
1005,46,23.24
1005,54,29.68
1005,23,2.79
1005,30,371.0
1005,20,0.0
1005,64,41.11
1005,21,0.0
1005,52,0.0
1005,51,0.51
1005,34,0.0
1005,22,674.0
1005,39,0.43
1005,42,24.0
1005,44,451.0
1005,45,136.0
1005,50,560.0
1005,65,2.6
1005,28,0.024
1005,49,14.5
1005,47,286.0
1005,55,292.0
1005,25,76.0
1005,24,0.0
1005,61,0.26
1005,60,0.5
1005,29,0.0
1005,41,0.0
1005,40,0.0
1005,59,0.0
1005,53,0.014
1005,48,0.351
1005,43,0.118
1005,58,0.065
1005,37,20.0
1005,56,1.26
1005,27,15.4
1005,63,2.5
1005,38,0.0
1005,36,20.0
1005,35,20.0
1005,62,0.0
1005,57,0.0
1005,26,94.0
1005,33,18.764
1005,17,0.914
1005,18,0.373
1005,19,0.299
1005,1,0.585
1005,2,0.482
1005,3,3.227
1005,4,8.655
1005,6,3.455
1005,7,7.401
1005,8,0.491
1005,9,0.293
1005,12,0.0
1005,16,0.0
1005,5,0.817
1005,10,0.0
1005,11,0.0
1005,13,0.0
1005,14,0.0
1005,15,0.0
1005,31,8.598
1005,32,0.784
1006,46,20.75
1006,54,27.68
1006,23,0.45
1006,30,334.0
1006,20,0.0
1006,64,48.42
1006,21,0.0
1006,52,0.0
1006,51,0.45
1006,34,0.0
1006,22,184.0
1006,39,0.5
1006,42,20.0
1006,44,188.0
1006,45,152.0
1006,50,629.0
1006,65,2.38
1006,28,0.019
1006,49,14.5
1006,47,173.0
1006,55,174.0
1006,25,9.0
1006,24,0.0
1006,61,0.24
1006,60,0.5
1006,29,0.0
1006,41,0.0
1006,40,0.0
1006,59,0.0
1006,53,0.07
1006,48,0.52
1006,43,0.38
1006,58,0.235
1006,37,65.0
1006,56,1.65
1006,27,15.4
1006,63,2.3
1006,38,0.0
1006,36,65.0
1006,35,65.0
1006,62,0.0
1006,57,0.0
1006,26,100.0
1006,33,17.41
1006,17,0.564
1006,18,0.323
1006,19,0.297
1006,1,0.673
1006,2,0.504
1006,3,3.065
1006,4,8.246
1006,6,2.88
1006,7,6.563
1006,8,0.513
1006,9,0.313
1006,12,0.0
1006,16,0.0
1006,5,1.007
1006,10,0.0
1006,11,0.0
1006,13,0.0
1006,14,0.0
1006,15,0.0
1006,31,8.013
1006,32,0.826
1007,46,19.8
1007,54,24.26
1007,23,0.46
1007,30,300.0
1007,20,0.0
1007,64,51.8
1007,21,0.0
1007,52,0.0
1007,51,0.46
1007,34,0.0
1007,22,388.0
1007,39,0.33
1007,42,20.0
1007,44,347.0
1007,45,187.0
1007,50,842.0
1007,65,2.38
1007,28,0.021
1007,49,14.5
1007,47,240.0
1007,55,241.0
1007,25,12.0
1007,24,0.0
1007,61,0.21
1007,60,0.4
1007,29,0.0
1007,41,0.0
1007,40,0.0
1007,59,0.0
1007,53,0.028
1007,48,0.488
1007,43,0.63
1007,58,0.227
1007,37,62.0
1007,56,1.3
1007,27,15.4
1007,63,2.0
1007,38,0.0
1007,36,62.0
1007,35,62.0
1007,62,0.0
1007,57,0.0
1007,26,72.0
1007,33,15.259
1007,17,0.494
1007,18,0.283
1007,19,0.26
1007,1,0.59
1007,2,0.442
