ID,Name,Unit,Importance
1,10:0,g,0.0
2,12:0,g,0.0
3,14:0,g,0.0
4,16:0,g,0.0
5,16:1,g,0.0
6,18:0,g,0.0
7,18:1,g,0.0
8,18:2,g,0.0
9,18:3,g,0.0
10,18:4,g,0.0
11,20:1,g,0.0
12,20:4,g,0.0
13,20:5 n-3,g,0.0
14,22:1,g,0.0
15,22:5 n-3,g,0.0
16,22:6 n-3,g,0.0
17,4:0,g,0.0
18,6:0,g,0.0
19,8:0,g,0.0
20,Alcohol,g,0.38398887078168514
21,Caffeine,mg,-8.014898022343353e-05
22,Calcium,mg,9.350242347875075e-05
23,Carbohydrate,g,0.02263739426485687
24,"Carotene, alpha",mcg,0.0
25,"Carotene, beta",mcg,-1.0563311963655479e-05
26,Cholesterol,mg,0.00021847932315026704
27,"Choline, total",mg,0.0
28,Copper,mg,-0.0012496957837352155
29,"Cryptoxanthin, beta",mcg,0.0
30,Energy,kcal,0.0
31,"Fatty acids, total monounsaturated",g,-0.058820828975633274
32,"Fatty acids, total polyunsaturated",g,-0.2604293822419986
33,"Fatty acids, total saturated",g,0.4703436901072823
34,"Fiber, total dietary",g,-0.20955264392388293
35,"Folate, DFE",mcg,0.0
36,"Folate, food",mcg,0.0
37,"Folate, total",mcg,-3.1280733134520226e-07
38,Folic acid,mcg,0.0
39,Iron,mg,-0.00020762438552231037
40,Lutein + zeaxanthin,mcg,0.0
41,Lycopene,mcg,0.0
42,Magnesium,mg,-1.4426017680928835e-06
43,Niacin,mg,0.00012378259674653794
44,Phosphorus,mg,-1.6432546137430755e-05
45,Potassium,mg,-0.0006263773824324579
46,Protein,g,0.13647678758816945
47,Retinol,mcg,0.0
48,Riboflavin,mg,-7.214628647194179e-05
49,Selenium,mcg,8.581679512122247e-07
50,Sodium,mg,0.045963365582228494
51,"Sugars, total",g,0.20036016233110843
52,Theobromine,mg,0.0
53,Thiamin,mg,-0.00026696736875228127
54,Total Fat,g,0.19367179762721615
55,"Vitamin A, RAE",mcg,0.00024409485659053533
56,Vitamin B-12,mcg,-2.550432638091542e-05
57,"Vitamin B-12, added",mcg,0.0
58,Vitamin B-6,mg,0.000294451946072272
59,Vitamin C,mg,-3.1550461745743015e-05
60,Vitamin D (D2 + D3),mcg,0.000468745997556739
61,Vitamin E (alpha-tocopherol),mg,-0.0012970945910874543
62,"Vitamin E, added",mg,0.0
63,Vitamin K (phylloquinone),mcg,1.227972898362552e-07
64,Water,g,0.0
65,Zinc,mg,0.0921436162654191
