"FB_ID","Description","Weight"
11000000,"1 cup",246.0
11000000,"Quantity not specified",0.0
11000000,"1 fl oz",30.8
11100000,"1 cup",244.0
11100000,"1 fl oz",30.5
11100000,"1 individual school container",244.0
11100000,"Guideline amount per fl oz of beverage",2.5
11100000,"Guideline amount per cup of hot cereal",61.0
11100000,"Quantity not specified",244.0
11111000,"1 cup",244.0
11111000,"1 fl oz",30.5
11111000,"1 individual school container",244.0
11111000,"Guideline amount per fl oz of beverage",2.5
11111000,"Guideline amount per cup of hot cereal",61.0
11111000,"Quantity not specified",244.0
11112110,"1 cup",244.0
11112110,"1 fl oz",30.5
11112110,"1 individual school container",244.0
11112110,"Guideline amount per fl oz of beverage",2.5
11112110,"Guideline amount per cup of hot cereal",61.0
11112110,"Quantity not specified",244.0
11112210,"1 cup",244.0
11112210,"1 fl oz",30.5
11112210,"1 individual school container",244.0
11112210,"Guideline amount per fl oz of beverage",2.5
11112210,"Guideline amount per cup of hot cereal",61.0
11112210,"Quantity not specified",244.0
11113000,"1 cup",244.0
11113000,"1 fl oz",30.5
11113000,"1 individual school container",244.0
11113000,"Guideline amount per fl oz of beverage",2.5
11113000,"Guideline amount per cup of hot cereal",61.0
11113000,"Quantity not specified",244.0
11114300,"1 cup",244.0
11114300,"1 fl oz",30.5
11114300,"Guideline amount per fl oz of beverage",2.5
11114300,"Guideline amount per cup of hot cereal",61.0
11114300,"Quantity not specified",244.0
11114320,"1 cup",244.0
11114320,"1 fl oz",30.5
11114320,"Guideline amount per fl oz of beverage",2.5
11114320,"Guideline amount per cup of hot cereal",61.0
11114320,"Quantity not specified",244.0
11114330,"1 cup",244.0
11114330,"1 fl oz",30.5
11114330,"Guideline amount per fl oz of beverage",2.5
11114330,"Guideline amount per cup of hot cereal",61.0
11114330,"Quantity not specified",244.0
11114350,"1 cup",244.0
11114350,"1 fl oz",30.5
11114350,"Guideline amount per fl oz of beverage",2.5
11114350,"Guideline amount per cup of hot cereal",61.0
11114350,"Quantity not specified",244.0
11115300,"1 cup",244.0
11115300,"1 fl oz",30.5
11115300,"Quantity not specified",244.0
11115400,"1 cup",244.0
11115400,"1 fl oz",30.5
11115400,"Quantity not specified",244.0
11116000,"1 cup",244.0
11116000,"1 fl oz",30.5
11116000,"Guideline amount per fl oz of beverage",2.5
11116000,"Guideline amount per cup of hot cereal",61.0
11116000,"Quantity not specified",244.0
11120000,"1 cup",244.0
11120000,"1 fl oz",30.5
11120000,"Guideline amount per fl oz of beverage",2.5
11120000,"Guideline amount per cup of hot cereal",61.0
11120000,"Quantity not specified",244.0
11121100,"1 cup",244.0
11121100,"1 fl oz",30.5
11121100,"Guideline amount per fl oz of beverage",2.5
11121100,"Guideline amount per cup of hot cereal",61.0
11121100,"Quantity not specified",244.0
11210050,"1 cup",252.0
11210050,"1 fl oz",31.5
11210050,"Guideline amount per fl oz of beverage",2.6
11210050,"Guideline amount per cup of hot cereal",63.0
11210050,"Quantity not specified",16.0
11211050,"1 cup",252.0
11211050,"1 fl oz",31.5
11211050,"Guideline amount per fl oz of beverage",2.6
11211050,"Guideline amount per cup of hot cereal",63.0
11211050,"Quantity not specified",16.0
11211400,"1 cup",252.0
11211400,"1 fl oz",31.5
11211400,"Guideline amount per cup of hot cereal",63.0
11211400,"Quantity not specified",16.0
11212050,"1 cup",252.0
